DATE,USEPUINDXD
2018-10-22,89.49000
2018-10-23,52.04000
2018-10-24,73.60000
2018-10-25,89.53000
2018-10-26,65.53000
2018-10-27,79.20000
2018-10-28,136.61000
2018-10-29,64.23000
2018-10-30,51.28000
2018-10-31,79.07000
2018-11-01,84.17000
2018-11-02,82.99000
2018-11-03,77.39000
2018-11-04,223.53000
2018-11-05,90.47000
2018-11-06,148.95000
2018-11-07,61.17000
2018-11-08,51.63000
2018-11-09,41.01000
2018-11-10,54.44000
2018-11-11,64.34000
2018-11-12,42.33000
2018-11-13,64.87000
2018-11-14,53.94000
2018-11-15,55.04000
2018-11-16,30.47000
2018-11-17,34.95000
2018-11-18,90.25000
2018-11-19,10.92000
2018-11-20,29.26000
2018-11-21,46.86000
2018-11-22,21.81000
2018-11-23,24.17000
2018-11-24,49.06000
2018-11-25,168.06000
2018-11-26,168.44000
2018-11-27,93.08000
2018-11-28,100.92000
2018-11-29,183.21000
2018-11-30,136.43000
2018-12-01,142.31000
2018-12-02,167.46000
2018-12-03,158.49000
2018-12-04,109.29000
2018-12-05,83.26000
2018-12-06,110.19000
2018-12-07,101.45000
2018-12-08,123.21000
2018-12-09,130.49000
2018-12-10,71.08000
2018-12-11,88.44000
2018-12-12,57.97000
2018-12-13,121.67000
2018-12-14,86.56000
2018-12-15,90.26000
2018-12-16,186.66000
2018-12-17,101.75000
2018-12-18,103.24000
2018-12-19,114.17000
2018-12-20,79.38000
2018-12-21,144.91000
2018-12-22,10.92000
2018-12-23,261.36000
2018-12-24,141.79000
2018-12-25,171.11000
2018-12-26,198.19000
2018-12-27,161.10000
2018-12-28,156.65000
2018-12-29,116.81000
2018-12-30,213.53000
2018-12-31,149.82000
2019-01-01,204.03000
2019-01-02,146.97000
2019-01-03,212.58000
2019-01-04,153.15000
2019-01-05,4.70000
2019-01-06,230.39000
2019-01-07,148.61000
2019-01-08,259.25000
2019-01-09,120.42000
2019-01-10,148.84000
2019-01-11,170.68000
2019-01-12,175.61000
2019-01-13,120.96000
2019-01-14,223.58000
2019-01-15,104.39000
2019-01-16,173.46000
2019-01-17,168.92000
2019-01-18,154.17000
2019-01-19,109.00000
2019-01-20,178.48000
2019-01-21,216.29000
2019-01-22,107.95000
2019-01-23,88.26000
2019-01-24,106.06000
2019-01-25,105.17000
2019-01-26,107.16000
2019-01-27,218.94000
2019-01-28,73.71000
2019-01-29,62.53000
2019-01-30,123.71000
2019-01-31,126.24000
2019-02-01,95.81000
2019-02-02,82.06000
2019-02-03,134.38000
2019-02-04,216.31000
2019-02-05,87.75000
2019-02-06,145.25000
2019-02-07,93.79000
2019-02-08,76.81000
2019-02-09,49.63000
2019-02-10,95.37000
2019-02-11,59.53000
2019-02-12,45.91000
2019-02-13,93.01000
2019-02-14,35.99000
2019-02-15,55.54000
2019-02-16,27.08000
2019-02-17,10.92000
2019-02-18,57.35000
2019-02-19,79.79000
2019-02-20,65.36000
2019-02-21,87.44000
2019-02-22,115.34000
2019-02-23,93.12000
2019-02-24,4.05000
2019-02-25,84.03000
2019-02-26,68.54000
2019-02-27,128.81000
2019-02-28,125.24000
2019-03-01,110.76000
2019-03-02,118.68000
2019-03-03,101.11000
2019-03-04,71.01000
2019-03-05,138.38000
2019-03-06,78.64000
2019-03-07,138.86000
2019-03-08,81.81000
2019-03-09,67.73000
2019-03-10,138.96000
2019-03-11,161.35000
2019-03-12,93.23000
2019-03-13,81.38000
2019-03-14,56.33000
2019-03-15,66.48000
2019-03-16,65.37000
2019-03-17,101.36000
2019-03-18,77.23000
2019-03-19,82.83000
2019-03-20,75.89000
2019-03-21,91.17000
2019-03-22,83.99000
2019-03-23,102.40000
2019-03-24,127.53000
2019-03-25,69.27000
2019-03-26,78.28000
2019-03-27,92.66000
2019-03-28,53.74000
2019-03-29,91.25000
2019-03-30,101.92000
2019-03-31,134.75000
2019-04-01,117.34000
2019-04-02,130.56000
2019-04-03,81.95000
2019-04-04,82.78000
2019-04-05,50.15000
2019-04-06,108.22000
2019-04-07,127.54000
2019-04-08,58.07000
2019-04-09,60.19000
2019-04-10,71.78000
2019-04-11,54.57000
2019-04-12,75.79000
2019-04-13,66.73000
2019-04-14,161.23000
2019-04-15,76.25000
2019-04-16,58.10000
2019-04-17,63.24000
2019-04-18,56.96000
2019-04-19,48.34000
2019-04-20,52.37000
2019-04-21,83.39000
2019-04-22,78.68000
2019-04-23,56.96000
2019-04-24,60.14000
2019-04-25,76.31000
2019-04-26,67.89000
2019-04-27,56.25000
2019-04-28,107.52000
2019-04-29,97.53000
2019-04-30,75.34000
2019-05-01,112.75000
2019-05-02,30.20000
2019-05-03,57.65000
2019-05-04,71.39000
2019-05-05,98.38000
2019-05-06,93.78000
2019-05-07,111.09000
2019-05-08,101.81000
2019-05-09,67.46000
2019-05-10,108.12000
2019-05-11,46.84000
2019-05-12,155.26000
2019-05-13,94.65000
2019-05-14,126.65000
2019-05-15,132.30000
2019-05-16,94.72000
2019-05-17,117.89000
2019-05-18,95.04000
2019-05-19,95.86000
2019-05-20,95.08000
2019-05-21,73.80000
2019-05-22,69.80000
2019-05-23,71.04000
2019-05-24,144.24000
2019-05-25,151.55000
2019-05-26,138.34000
2019-05-27,102.04000
2019-05-28,69.48000
2019-05-29,55.62000
2019-05-30,50.84000
2019-05-31,94.35000
2019-06-01,97.55000
2019-06-02,159.79000
2019-06-03,72.86000
2019-06-04,120.06000
2019-06-05,217.51000
2019-06-06,137.43000
2019-06-07,242.25000
2019-06-08,139.29000
2019-06-09,174.61000
2019-06-10,162.10000
2019-06-11,130.24000
2019-06-12,116.03000
2019-06-13,143.87000
2019-06-14,145.07000
2019-06-15,175.49000
2019-06-16,198.50000
2019-06-17,82.16000
2019-06-18,146.35000
2019-06-19,77.89000
2019-06-20,116.67000
2019-06-21,178.92000
2019-06-22,127.09000
2019-06-23,245.77000
2019-06-24,92.75000
2019-06-25,74.19000
2019-06-26,142.51000
2019-06-27,64.08000
2019-06-28,129.48000
2019-06-29,96.20000
2019-06-30,114.41000
2019-07-01,174.62000
2019-07-02,144.12000
2019-07-03,126.27000
2019-07-04,96.84000
2019-07-05,72.83000
2019-07-06,93.29000
2019-07-07,180.55000
2019-07-08,72.06000
2019-07-09,40.14000
2019-07-10,45.62000
2019-07-11,103.84000
2019-07-12,72.49000
2019-07-13,126.95000
2019-07-14,58.43000
2019-07-15,72.19000
2019-07-16,53.41000
2019-07-17,77.06000
2019-07-18,61.63000
2019-07-19,61.84000
2019-07-20,28.88000
2019-07-21,112.14000
2019-07-22,75.32000
2019-07-23,114.24000
2019-07-24,79.72000
2019-07-25,40.68000
2019-07-26,116.11000
2019-07-27,174.53000
2019-07-28,133.67000
2019-07-29,86.97000
2019-07-30,139.24000
2019-07-31,103.01000
2019-08-01,150.20000
2019-08-02,117.41000
2019-08-03,153.64000
2019-08-04,87.14000
2019-08-05,83.03000
2019-08-06,84.05000
2019-08-07,92.22000
2019-08-08,93.48000
2019-08-09,92.35000
2019-08-10,57.72000
2019-08-11,123.95000
2019-08-12,109.59000
2019-08-13,70.10000
2019-08-14,133.71000
2019-08-15,144.25000
2019-08-16,105.71000
2019-08-17,176.17000
2019-08-18,196.87000
2019-08-19,144.84000
2019-08-20,229.29000
2019-08-21,278.29000
2019-08-22,186.06000
2019-08-23,268.83000
2019-08-24,386.19000
2019-08-25,321.21000
2019-08-26,267.98000
2019-08-27,173.50000
2019-08-28,132.75000
2019-08-29,100.25000
2019-08-30,116.43000
2019-08-31,135.02000
2019-09-01,242.38000
2019-09-02,229.98000
2019-09-03,95.61000
2019-09-04,92.02000
2019-09-05,106.57000
2019-09-06,130.51000
2019-09-07,160.77000
2019-09-08,128.76000
2019-09-09,65.84000
2019-09-10,64.63000
2019-09-11,58.52000
2019-09-12,100.33000
2019-09-13,103.12000
2019-09-14,103.05000
2019-09-15,154.30000
2019-09-16,67.24000
2019-09-17,79.18000
2019-09-18,72.64000
2019-09-19,184.82000
2019-09-20,98.34000
2019-09-21,139.28000
2019-09-22,133.98000
2019-09-23,134.52000
2019-09-24,120.81000
2019-09-25,144.83000
2019-09-26,60.07000
2019-09-27,101.26000
2019-09-28,97.83000
2019-09-29,165.02000
2019-09-30,113.00000
2019-10-01,65.08000
2019-10-02,92.82000
2019-10-03,46.59000
2019-10-04,105.75000
2019-10-05,200.44000
2019-10-06,192.80000
2019-10-07,137.56000
2019-10-08,165.35000
2019-10-09,62.58000
2019-10-10,119.93000
2019-10-11,95.08000
2019-10-12,88.08000
2019-10-13,80.63000
2019-10-14,108.55000
2019-10-15,68.05000
2019-10-16,114.65000
2019-10-17,156.80000
2019-10-18,64.05000
2019-10-19,60.31000
2019-10-20,56.13000
2019-10-21,57.74000
2019-10-22,42.25000
2019-10-23,80.02000
2019-10-24,56.27000
2019-10-25,67.88000
2019-10-26,78.83000
2019-10-27,166.39000
2019-10-28,28.94000
2019-10-29,134.13000
2019-10-30,111.12000
2019-10-31,133.29000
2019-11-01,35.14000
2019-11-02,135.00000
2019-11-03,143.99000
2019-11-04,75.66000
2019-11-05,129.40000
2019-11-06,48.77000
2019-11-07,67.84000
2019-11-08,127.43000
2019-11-09,125.21000
2019-11-10,118.98000
2019-11-11,101.72000
2019-11-12,89.57000
2019-11-13,106.88000
2019-11-14,53.75000
2019-11-15,56.77000
2019-11-16,91.22000
2019-11-17,125.90000
2019-11-18,19.85000
2019-11-19,33.14000
2019-11-20,46.27000
2019-11-21,65.17000
2019-11-22,83.86000
2019-11-23,63.35000
2019-11-24,110.11000
2019-11-25,41.17000
2019-11-26,37.49000
2019-11-27,37.18000
2019-11-28,97.06000
2019-11-29,122.19000
2019-11-30,41.19000
2019-12-01,99.73000
2019-12-02,86.08000
2019-12-03,69.28000
2019-12-04,64.18000
2019-12-05,36.86000
2019-12-06,134.85000
2019-12-07,174.94000
2019-12-08,219.84000
2019-12-09,130.15000
2019-12-10,189.13000
2019-12-11,111.83000
2019-12-12,99.79000
2019-12-13,164.40000
2019-12-14,139.75000
2019-12-15,110.44000
2019-12-16,79.66000
2019-12-17,140.79000
2019-12-18,89.87000
2019-12-19,70.52000
2019-12-20,141.48000
2019-12-21,155.23000
2019-12-22,190.14000
2019-12-23,110.91000
2019-12-24,97.08000
2019-12-25,43.46000
2019-12-26,106.92000
2019-12-27,127.92000
2019-12-28,123.10000
2019-12-29,245.14000
2019-12-30,101.31000
2019-12-31,105.75000
